ACS Code,Area of Operations,Task,Type,Description
PH.V.G.R6,"V. Takeoffs, Landings, and Go-Arounds",Task G. Pinnacle Operations,Risk Management,Collision hazards.
PH.V.G.R7,"V. Takeoffs, Landings, and Go-Arounds",Task G. Pinnacle Operations,Risk Management,Vortex ring state (VRS).
PH.V.G.R8,"V. Takeoffs, Landings, and Go-Arounds",Task G. Pinnacle Operations,Risk Management,Landing surface.
PH.V.G.R9,"V. Takeoffs, Landings, and Go-Arounds",Task G. Pinnacle Operations,Risk Management,Low rotor rpm.
PH.V.G.R10,"V. Takeoffs, Landings, and Go-Arounds",Task G. Pinnacle Operations,Risk Management,Dynamic rollover.
PH.V.G.R11,"V. Takeoffs, Landings, and Go-Arounds",Task G. Pinnacle Operations,Risk Management,Ground resonance.
PH.V.G.R12,"V. Takeoffs, Landings, and Go-Arounds",Task G. Pinnacle Operations,Risk Management,Loss of tail rotor effectiveness (LTE).
PH.V.G.R13,"V. Takeoffs, Landings, and Go-Arounds",Task G. Pinnacle Operations,Risk Management,Aircraft limitations.
PH.V.G.R14,"V. Takeoffs, Landings, and Go-Arounds",Task G. Pinnacle Operations,Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PH.V.G.R15,"V. Takeoffs, Landings, and Go-Arounds",Task G. Pinnacle Operations,Risk Management,Main and tail rotor hazards for passengers.
PH.V.G.R16,"V. Takeoffs, Landings, and Go-Arounds",Task G. Pinnacle Operations,Risk Management,Forced landing.
PH.V.G.S1,"V. Takeoffs, Landings, and Go-Arounds",Task G. Pinnacle Operations,Skills,Complete the appropriate checklist(s).
PH.V.G.S2,"V. Takeoffs, Landings, and Go-Arounds",Task G. Pinnacle Operations,Skills,Confirm power available meets or exceeds the power required for the selected arrival or departure profile(s).
PH.V.G.S3,"V. Takeoffs, Landings, and Go-Arounds",Task G. Pinnacle Operations,Skills,Make radio calls as appropriate.
PH.V.G.S4,"V. Takeoffs, Landings, and Go-Arounds",Task G. Pinnacle Operations,Skills,Accomplish high and low reconnaissance.
PH.V.G.S5,"V. Takeoffs, Landings, and Go-Arounds",Task G. Pinnacle Operations,Skills,Determine wind direction with or without visible wind direction indicators.
PH.V.G.S6,"V. Takeoffs, Landings, and Go-Arounds",Task G. Pinnacle Operations,Skills,"Select a suitable approach path, termination point, and departure path."
PH.V.G.S7,"V. Takeoffs, Landings, and Go-Arounds",Task G. Pinnacle Operations,Skills,Select an approach path considering wind direction.
PH.V.G.S8,"V. Takeoffs, Landings, and Go-Arounds",Task G. Pinnacle Operations,Skills,Track the selected approach path at an acceptable approach angle and rate of closure to the termination point.
PH.V.G.S9,"V. Takeoffs, Landings, and Go-Arounds",Task G. Pinnacle Operations,Skills,Maintain powerplant and main rotor (Nr) speed within normal limits.
PH.V.G.S10,"V. Takeoffs, Landings, and Go-Arounds",Task G. Pinnacle Operations,Skills,Accomplish a proper ground reconnaissance.
PH.V.G.S11,"V. Takeoffs, Landings, and Go-Arounds",Task G. Pinnacle Operations,Skills,"Terminate in a hover or on the surface, as appropriate."
PH.V.G.S12,"V. Takeoffs, Landings, and Go-Arounds",Task G. Pinnacle Operations,Skills,Select a suitable takeoff point and consider factors affecting takeoff and climb performance under various conditions.
PH.V.H.K1,"V. Takeoffs, Landings, and Go-Arounds",Task H. Shallow Approach and Running/Roll-On Landing,Knowledge,"Elements related to shallow approach and running/roll-on landing, including when to use the maneuver, aircraft limitations, and effect of landing surface texture."
PH.V.H.K2,"V. Takeoffs, Landings, and Go-Arounds",Task H. Shallow Approach and Running/Roll-On Landing,Knowledge,"Effects of wind, weight, temperature, and density altitude."
PH.V.H.R1,"V. Takeoffs, Landings, and Go-Arounds",Task H. Shallow Approach and Running/Roll-On Landing,Risk Management,"Selection of approach path and landing based on aircraft performance and limitations, and wind."
PH.V.H.R2,"V. Takeoffs, Landings, and Go-Arounds",Task H. Shallow Approach and Running/Roll-On Landing,Risk Management,Effects of:
PH.V.H.R2a,"V. Takeoffs, Landings, and Go-Arounds",Task H. Shallow Approach and Running/Roll-On Landing,Risk Management,a. Wind Direction
PH.V.H.R2b,"V. Takeoffs, Landings, and Go-Arounds",Task H. Shallow Approach and Running/Roll-On Landing,Risk Management,b. Windshear
PH.V.H.R2c,"V. Takeoffs, Landings, and Go-Arounds",Task H. Shallow Approach and Running/Roll-On Landing,Risk Management,"c. Turbulence, including wake turbulence"
PH.V.H.R3,"V. Takeoffs, Landings, and Go-Arounds",Task H. Shallow Approach and Running/Roll-On Landing,Risk Management,Planning for:
PH.V.H.R3a,"V. Takeoffs, Landings, and Go-Arounds",Task H. Shallow Approach and Running/Roll-On Landing,Risk Management,a. Powerplant failure during approach/landing phase of flight
PH.V.H.R4,"V. Takeoffs, Landings, and Go-Arounds",Task H. Shallow Approach and Running/Roll-On Landing,Risk Management,Collision hazards.
PH.V.H.R5,"V. Takeoffs, Landings, and Go-Arounds",Task H. Shallow Approach and Running/Roll-On Landing,Risk Management,Landing surface.
PH.V.H.R6,"V. Takeoffs, Landings, and Go-Arounds",Task H. Shallow Approach and Running/Roll-On Landing,Risk Management,Dynamic rollover.
PH.V.H.R7,"V. Takeoffs, Landings, and Go-Arounds",Task H. Shallow Approach and Running/Roll-On Landing,Risk Management,Ground resonance.
PH.V.H.R8,"V. Takeoffs, Landings, and Go-Arounds",Task H. Shallow Approach and Running/Roll-On Landing,Risk Management,Aircraft limitations.
PH.V.H.R9,"V. Takeoffs, Landings, and Go-Arounds",Task H. Shallow Approach and Running/Roll-On Landing,Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PH.V.H.S1,"V. Takeoffs, Landings, and Go-Arounds",Task H. Shallow Approach and Running/Roll-On Landing,Skills,Complete the appropriate checklist(s).
PH.V.H.S2,"V. Takeoffs, Landings, and Go-Arounds",Task H. Shallow Approach and Running/Roll-On Landing,Skills,Make radio calls as appropriate.
PH.V.H.S3,"V. Takeoffs, Landings, and Go-Arounds",Task H. Shallow Approach and Running/Roll-On Landing,Skills,Maintain powerplant and main rotor (Nr) speed within normal limits.
PH.V.H.S4,"V. Takeoffs, Landings, and Go-Arounds",Task H. Shallow Approach and Running/Roll-On Landing,Skills,Establish and maintain the recommended approach angle and proper rate of closure.
PH.V.H.S5,"V. Takeoffs, Landings, and Go-Arounds",Task H. Shallow Approach and Running/Roll-On Landing,Skills,Determine wind direction and maintain ground track with crosswind correction.
PH.V.H.S6,"V. Takeoffs, Landings, and Go-Arounds",Task H. Shallow Approach and Running/Roll-On Landing,Skills,Maintain effective translational lift during surface contact with landing gear parallel to the ground track.
PH.V.H.S7,"V. Takeoffs, Landings, and Go-Arounds",Task H. Shallow Approach and Running/Roll-On Landing,Skills,"Make smooth, timely, and correct control inputs after surface contact to maintain directional control."
PH.V.H.S8,"V. Takeoffs, Landings, and Go-Arounds",Task H. Shallow Approach and Running/Roll-On Landing,Skills,"Use runway incursion avoidance procedures, if applicable."
PH.V.I.K1,"V. Takeoffs, Landings, and Go-Arounds",Task I. Rolling Takeoff (Wheel-Type Landing Gear),Knowledge,Elements of a rolling takeoff.
PH.V.I.K2,"V. Takeoffs, Landings, and Go-Arounds",Task I. Rolling Takeoff (Wheel-Type Landing Gear),Knowledge,"Effects of wind, weight, temperature, and density altitude."
PH.V.I.K3,"V. Takeoffs, Landings, and Go-Arounds",Task I. Rolling Takeoff (Wheel-Type Landing Gear),Knowledge,Situations when a rolling takeoff is recommended and factors related to takeoff and climb performance.
PH.V.I.K4,"V. Takeoffs, Landings, and Go-Arounds",Task I. Rolling Takeoff (Wheel-Type Landing Gear),Knowledge,Translational lift.
PH.V.I.R1,"V. Takeoffs, Landings, and Go-Arounds",Task I. Rolling Takeoff (Wheel-Type Landing Gear),Risk Management,"Selection of takeoff path based on helicopter performance and limitations, available distance, and wind."
PH.V.I.R2,"V. Takeoffs, Landings, and Go-Arounds",Task I. Rolling Takeoff (Wheel-Type Landing Gear),Risk Management,Effects of:
PH.V.I.R2a,"V. Takeoffs, Landings, and Go-Arounds",Task I. Rolling Takeoff (Wheel-Type Landing Gear),Risk Management,a. Wind Direction
PH.V.I.R2b,"V. Takeoffs, Landings, and Go-Arounds",Task I. Rolling Takeoff (Wheel-Type Landing Gear),Risk Management,b. Windshear
PH.V.I.R2c,"V. Takeoffs, Landings, and Go-Arounds",Task I. Rolling Takeoff (Wheel-Type Landing Gear),Risk Management,"c. Turbulence, including wake turbulence"
PH.V.I.R3,"V. Takeoffs, Landings, and Go-Arounds",Task I. Rolling Takeoff (Wheel-Type Landing Gear),Risk Management,Planning for:
PH.V.I.R3a,"V. Takeoffs, Landings, and Go-Arounds",Task I. Rolling Takeoff (Wheel-Type Landing Gear),Risk Management,a. Height/Velocity (H/V) considerations
PH.V.I.R3b,"V. Takeoffs, Landings, and Go-Arounds",Task I. Rolling Takeoff (Wheel-Type Landing Gear),Risk Management,b. Rejected takeoff
PH.V.I.R3c,"V. Takeoffs, Landings, and Go-Arounds",Task I. Rolling Takeoff (Wheel-Type Landing Gear),Risk Management,c. Powerplant failure during takeoff/climb phase of flight
PH.V.I.R4,"V. Takeoffs, Landings, and Go-Arounds",Task I. Rolling Takeoff (Wheel-Type Landing Gear),Risk Management,Collision hazards.
PH.V.I.R5,"V. Takeoffs, Landings, and Go-Arounds",Task I. Rolling Takeoff (Wheel-Type Landing Gear),Risk Management,Takeoff surface.
PH.V.I.R6,"V. Takeoffs, Landings, and Go-Arounds",Task I. Rolling Takeoff (Wheel-Type Landing Gear),Risk Management,Landing gear.
PH.V.I.R7,"V. Takeoffs, Landings, and Go-Arounds",Task I. Rolling Takeoff (Wheel-Type Landing Gear),Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PH.V.I.S1,"V. Takeoffs, Landings, and Go-Arounds",Task I. Rolling Takeoff (Wheel-Type Landing Gear),Skills,Complete the appropriate checklist(s).
PH.V.I.S2,"V. Takeoffs, Landings, and Go-Arounds",Task I. Rolling Takeoff (Wheel-Type Landing Gear),Skills,Make radio calls as appropriate.
PH.V.I.S3,"V. Takeoffs, Landings, and Go-Arounds",Task I. Rolling Takeoff (Wheel-Type Landing Gear),Skills,Determine wind direction with or without visible wind direction indicators.
PH.V.I.S4,"V. Takeoffs, Landings, and Go-Arounds",Task I. Rolling Takeoff (Wheel-Type Landing Gear),Skills,Verify assigned/correct takeoff path.
PH.V.I.S5,"V. Takeoffs, Landings, and Go-Arounds",Task I. Rolling Takeoff (Wheel-Type Landing Gear),Skills,Maintain powerplant and main rotor (Nr) speed within normal limits.
PH.V.I.S6,"V. Takeoffs, Landings, and Go-Arounds",Task I. Rolling Takeoff (Wheel-Type Landing Gear),Skills,Use control inputs that initiate the takeoff roll.
PH.V.I.S7,"V. Takeoffs, Landings, and Go-Arounds",Task I. Rolling Takeoff (Wheel-Type Landing Gear),Skills,"Maintain proper ground track with crosswind correction, while accelerating."
PH.V.I.S8,"V. Takeoffs, Landings, and Go-Arounds",Task I. Rolling Takeoff (Wheel-Type Landing Gear),Skills,"Transition to a normal climb airspeed, ±10 knots, and set appropriate power."
PH.V.I.S9,"V. Takeoffs, Landings, and Go-Arounds",Task I. Rolling Takeoff (Wheel-Type Landing Gear),Skills,Maintain proper ground track with crosswind correction after liftoff.
PH.V.I.S10,"V. Takeoffs, Landings, and Go-Arounds",Task I. Rolling Takeoff (Wheel-Type Landing Gear),Skills,"Use runway incursion avoidance procedures, if applicable."
PH.VI.A.K1,VI. Performance Maneuvers,Task A. Rapid Deceleration/Quick Stop,Knowledge,Purpose of the maneuver.
PH.VI.A.K2,VI. Performance Maneuvers,Task A. Rapid Deceleration/Quick Stop,Knowledge,Effects of atmospheric conditions on a rapid deceleration/quick stop.
PH.VI.A.K3,VI. Performance Maneuvers,Task A. Rapid Deceleration/Quick Stop,Knowledge,Wind correction techniques during rapid deceleration/quick stop.
PH.VI.A.R1,VI. Performance Maneuvers,Task A. Rapid Deceleration/Quick Stop,Risk Management,Recognition of the need for a rapid deceleration/quick stop.
PH.VI.A.R2,VI. Performance Maneuvers,Task A. Rapid Deceleration/Quick Stop,Risk Management,Powerplant and rotor management.
PH.VI.A.R3,VI. Performance Maneuvers,Task A. Rapid Deceleration/Quick Stop,Risk Management,Vortex ring state (VRS).
PH.VI.A.R4,VI. Performance Maneuvers,Task A. Rapid Deceleration/Quick Stop,Risk Management,Collision hazards.
PH.VI.A.R5,VI. Performance Maneuvers,Task A. Rapid Deceleration/Quick Stop,Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PH.VI.A.S1,VI. Performance Maneuvers,Task A. Rapid Deceleration/Quick Stop,Skills,Complete the appropriate checklist(s).
PH.VI.A.S2,VI. Performance Maneuvers,Task A. Rapid Deceleration/Quick Stop,Skills,Maintain powerplant and main rotor (Nr) speed within normal limits.
PH.VI.A.S3,VI. Performance Maneuvers,Task A. Rapid Deceleration/Quick Stop,Skills,Coordinate all controls throughout the execution of the maneuver to terminate in a hover at an appropriate hover height.
PH.VI.A.S4,VI. Performance Maneuvers,Task A. Rapid Deceleration/Quick Stop,Skills,Maintain an altitude that permits safe clearance between the tail boom and the surface.
PH.VI.A.S5,VI. Performance Maneuvers,Task A. Rapid Deceleration/Quick Stop,Skills,"Maintain heading throughout the maneuver, ±10°."
PH.VI.B.K1,VI. Performance Maneuvers,Task B. Straight-In Autorotation in a Single-Engine Helicopter,Knowledge,"Effects of wind, weight, temperature, and density altitude."
PH.VI.B.K2,VI. Performance Maneuvers,Task B. Straight-In Autorotation in a Single-Engine Helicopter,Knowledge,Main rotor (Nr) speed.
PH.VI.B.K3,VI. Performance Maneuvers,Task B. Straight-In Autorotation in a Single-Engine Helicopter,Knowledge,Energy management.
PH.VI.B.K4,VI. Performance Maneuvers,Task B. Straight-In Autorotation in a Single-Engine Helicopter,Knowledge,Causes and effects of high descent rates.
PH.VI.B.K5,VI. Performance Maneuvers,Task B. Straight-In Autorotation in a Single-Engine Helicopter,Knowledge,"Effect of varying bank angles, airspeeds, and rotor rpm."
PH.VI.B.R1,VI. Performance Maneuvers,Task B. Straight-In Autorotation in a Single-Engine Helicopter,Risk Management,Low entry altitudes.
PH.VI.B.R2,VI. Performance Maneuvers,Task B. Straight-In Autorotation in a Single-Engine Helicopter,Risk Management,Flight control inputs.
PH.VI.B.R3,VI. Performance Maneuvers,Task B. Straight-In Autorotation in a Single-Engine Helicopter,Risk Management,"Turbulence, including wake turbulence."
PH.VI.B.R4,VI. Performance Maneuvers,Task B. Straight-In Autorotation in a Single-Engine Helicopter,Risk Management,Windshear.
PH.VI.B.R5,VI. Performance Maneuvers,Task B. Straight-In Autorotation in a Single-Engine Helicopter,Risk Management,Energy management.
PH.VI.B.R6,VI. Performance Maneuvers,Task B. Straight-In Autorotation in a Single-Engine Helicopter,Risk Management,Main rotor (Nr) speed.
PH.VI.B.R7,VI. Performance Maneuvers,Task B. Straight-In Autorotation in a Single-Engine Helicopter,Risk Management,Low rotor rpm or rotor stall.
PH.VI.B.R8,VI. Performance Maneuvers,Task B. Straight-In Autorotation in a Single-Engine Helicopter,Risk Management,Main rotor (Nr) overspeed.
PH.VI.B.R9,VI. Performance Maneuvers,Task B. Straight-In Autorotation in a Single-Engine Helicopter,Risk Management,Excessive rate of descent.
PH.VI.B.R10,VI. Performance Maneuvers,Task B. Straight-In Autorotation in a Single-Engine Helicopter,Risk Management,Powerplant failure during the maneuver.
PH.VI.B.R11,VI. Performance Maneuvers,Task B. Straight-In Autorotation in a Single-Engine Helicopter,Risk Management,Collision hazards.
PH.VI.B.R12,VI. Performance Maneuvers,Task B. Straight-In Autorotation in a Single-Engine Helicopter,Risk Management,Terminating an autorotation.
PH.VI.B.R13,VI. Performance Maneuvers,Task B. Straight-In Autorotation in a Single-Engine Helicopter,Risk Management,Power recovery and go-around.
PH.VI.B.R14,VI. Performance Maneuvers,Task B. Straight-In Autorotation in a Single-Engine Helicopter,Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PH.VI.B.S1,VI. Performance Maneuvers,Task B. Straight-In Autorotation in a Single-Engine Helicopter,Skills,Complete the appropriate checklist(s).
PH.VI.B.S2,VI. Performance Maneuvers,Task B. Straight-In Autorotation in a Single-Engine Helicopter,Skills,Make radio calls as appropriate.
PH.VI.B.S3,VI. Performance Maneuvers,Task B. Straight-In Autorotation in a Single-Engine Helicopter,Skills,Select a suitable landing area.
PH.VI.B.S4,VI. Performance Maneuvers,Task B. Straight-In Autorotation in a Single-Engine Helicopter,Skills,Clear the area.
PH.VI.B.S5,VI. Performance Maneuvers,Task B. Straight-In Autorotation in a Single-Engine Helicopter,Skills,Select an appropriate entry altitude.
PH.VI.B.S6,VI. Performance Maneuvers,Task B. Straight-In Autorotation in a Single-Engine Helicopter,Skills,Initiate the maneuver at the proper point.
PH.VI.B.S7,VI. Performance Maneuvers,Task B. Straight-In Autorotation in a Single-Engine Helicopter,Skills,"Establish power-off glide with the helicopter trimmed and autorotation airspeed, ±10 knots."
PH.VI.B.S8,VI. Performance Maneuvers,Task B. Straight-In Autorotation in a Single-Engine Helicopter,Skills,Maintain main rotor (Nr) within normal limits.
PH.VI.B.S9,VI. Performance Maneuvers,Task B. Straight-In Autorotation in a Single-Engine Helicopter,Skills,Compensate for wind speed and direction as necessary to avoid undershooting or overshooting the selected landing area.
PH.VI.B.S10,VI. Performance Maneuvers,Task B. Straight-In Autorotation in a Single-Engine Helicopter,Skills,Use proper deceleration and collective pitch application that permits safe clearance between the aircraft tail boom and the surface.
PH.VI.B.S11,VI. Performance Maneuvers,Task B. Straight-In Autorotation in a Single-Engine Helicopter,Skills,Initiate proper power recovery.
PH.VI.B.S12,VI. Performance Maneuvers,Task B. Straight-In Autorotation in a Single-Engine Helicopter,Skills,Terminate autorotation to a stabilized hover within 200 feet of a designated point.
PH.VI.C.K1,VI. Performance Maneuvers,Task C. Autorotation with Turns in a Single-Engine Helicopter,Knowledge,"Effects of wind, weight, temperature, and density altitude."
PH.VI.C.K2,VI. Performance Maneuvers,Task C. Autorotation with Turns in a Single-Engine Helicopter,Knowledge,Main rotor (Nr) speed.
PH.VI.C.K3,VI. Performance Maneuvers,Task C. Autorotation with Turns in a Single-Engine Helicopter,Knowledge,Energy management.
PH.VI.C.K4,VI. Performance Maneuvers,Task C. Autorotation with Turns in a Single-Engine Helicopter,Knowledge,Causes and effects of high descent rates.
PH.VI.C.K5,VI. Performance Maneuvers,Task C. Autorotation with Turns in a Single-Engine Helicopter,Knowledge,"Effect of varying bank angles, airspeeds, and rotor rpm."
PH.VI.C.R1,VI. Performance Maneuvers,Task C. Autorotation with Turns in a Single-Engine Helicopter,Risk Management,Low entry altitudes.
PH.VI.C.R2,VI. Performance Maneuvers,Task C. Autorotation with Turns in a Single-Engine Helicopter,Risk Management,Flight control inputs.
PH.VI.C.R3,VI. Performance Maneuvers,Task C. Autorotation with Turns in a Single-Engine Helicopter,Risk Management,"Turbulence, including wake turbulence."
PH.VI.C.R4,VI. Performance Maneuvers,Task C. Autorotation with Turns in a Single-Engine Helicopter,Risk Management,Windshear.
PH.VI.C.R5,VI. Performance Maneuvers,Task C. Autorotation with Turns in a Single-Engine Helicopter,Risk Management,Energy management.
PH.VI.C.R6,VI. Performance Maneuvers,Task C. Autorotation with Turns in a Single-Engine Helicopter,Risk Management,Main rotor (Nr) speed.
PH.VI.C.R7,VI. Performance Maneuvers,Task C. Autorotation with Turns in a Single-Engine Helicopter,Risk Management,Low rotor rpm or rotor stall.
PH.VI.C.R9,VI. Performance Maneuvers,Task C. Autorotation with Turns in a Single-Engine Helicopter,Risk Management,Excessive rate of descent.
PH.VI.C.R10,VI. Performance Maneuvers,Task C. Autorotation with Turns in a Single-Engine Helicopter,Risk Management,Powerplant failure during the maneuver.
PH.VI.C.R11,VI. Performance Maneuvers,Task C. Autorotation with Turns in a Single-Engine Helicopter,Risk Management,Rolling out of the turn.
PH.VI.C.R12,VI. Performance Maneuvers,Task C. Autorotation with Turns in a Single-Engine Helicopter,Risk Management,Collision hazards.
PH.VI.C.R13,VI. Performance Maneuvers,Task C. Autorotation with Turns in a Single-Engine Helicopter,Risk Management,Terminating an autorotation.
PH.VI.C.R14,VI. Performance Maneuvers,Task C. Autorotation with Turns in a Single-Engine Helicopter,Risk Management,Power recovery and go-around.
PH.VI.C.R15,VI. Performance Maneuvers,Task C. Autorotation with Turns in a Single-Engine Helicopter,Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PH.VI.C.S1,VI. Performance Maneuvers,Task C. Autorotation with Turns in a Single-Engine Helicopter,Skills,Complete the appropriate checklist(s).
PH.VI.C.S2,VI. Performance Maneuvers,Task C. Autorotation with Turns in a Single-Engine Helicopter,Skills,Make radio calls as appropriate.
PH.VI.C.S3,VI. Performance Maneuvers,Task C. Autorotation with Turns in a Single-Engine Helicopter,Skills,Select a suitable landing area.
PH.VI.C.S4,VI. Performance Maneuvers,Task C. Autorotation with Turns in a Single-Engine Helicopter,Skills,Clear the area.
PH.VI.C.S5,VI. Performance Maneuvers,Task C. Autorotation with Turns in a Single-Engine Helicopter,Skills,Select an appropriate entry altitude.
PH.VI.C.S6,VI. Performance Maneuvers,Task C. Autorotation with Turns in a Single-Engine Helicopter,Skills,Initiate the maneuver at the proper point.
PH.VI.C.S7,VI. Performance Maneuvers,Task C. Autorotation with Turns in a Single-Engine Helicopter,Skills,"Establish power-off glide with the helicopter trimmed and autorotation airspeed, ±10 knots."
PH.VI.C.S8,VI. Performance Maneuvers,Task C. Autorotation with Turns in a Single-Engine Helicopter,Skills,Maintain main rotor (Nr) within normal limits.
PH.VI.C.S9,VI. Performance Maneuvers,Task C. Autorotation with Turns in a Single-Engine Helicopter,Skills,Maneuver to avoid undershooting or overshooting the selected landing area.
PH.VI.C.S10,VI. Performance Maneuvers,Task C. Autorotation with Turns in a Single-Engine Helicopter,Skills,Roll out no lower than 300 feet above ground level (AGL) along the flight path to the selected landing area.
PH.VI.C.S11,VI. Performance Maneuvers,Task C. Autorotation with Turns in a Single-Engine Helicopter,Skills,Use proper deceleration and collective pitch application that permits safe clearance between the aircraft tail boom and the surface.
PH.VI.C.S12,VI. Performance Maneuvers,Task C. Autorotation with Turns in a Single-Engine Helicopter,Skills,Initiate proper power recovery.
PH.VI.C.S13,VI. Performance Maneuvers,Task C. Autorotation with Turns in a Single-Engine Helicopter,Skills,Terminate autorotation to a stabilized hover within 200 feet of a designated point.
PH.VII.A.K1,VII. Navigation,Task A. Pilotage and Dead Reckoning,Knowledge,Pilotage and dead reckoning.
PH.VII.A.K2,VII. Navigation,Task A. Pilotage and Dead Reckoning,Knowledge,Magnetic compass errors.
PH.VII.A.K3,VII. Navigation,Task A. Pilotage and Dead Reckoning,Knowledge,Topography.
PH.VII.A.K4,VII. Navigation,Task A. Pilotage and Dead Reckoning,Knowledge,Selection of appropriate:
PH.VII.A.K4a,VII. Navigation,Task A. Pilotage and Dead Reckoning,Knowledge,a. Route
PH.VII.A.K4b,VII. Navigation,Task A. Pilotage and Dead Reckoning,Knowledge,b. Altitude(s)
PH.VII.A.K4c,VII. Navigation,Task A. Pilotage and Dead Reckoning,Knowledge,c. Checkpoints
PH.VII.A.K5,VII. Navigation,Task A. Pilotage and Dead Reckoning,Knowledge,"Plotting a course, including:"
PH.VII.A.K5a,VII. Navigation,Task A. Pilotage and Dead Reckoning,Knowledge,"a. Determining heading, speed, and course"
PH.VII.A.K5b,VII. Navigation,Task A. Pilotage and Dead Reckoning,Knowledge,b. Wind correction angle
PH.VII.A.K5c,VII. Navigation,Task A. Pilotage and Dead Reckoning,Knowledge,"c. Estimating time, speed, and distance"
PH.VII.A.K5d,VII. Navigation,Task A. Pilotage and Dead Reckoning,Knowledge,d. True airspeed and density altitude
PH.VII.A.K6,VII. Navigation,Task A. Pilotage and Dead Reckoning,Knowledge,Power setting selection.
PH.VII.A.K7,VII. Navigation,Task A. Pilotage and Dead Reckoning,Knowledge,Planned calculations versus actual results and required corrections.
PH.VII.A.R1,VII. Navigation,Task A. Pilotage and Dead Reckoning,Risk Management,Collision hazards.
PH.VII.A.R2,VII. Navigation,Task A. Pilotage and Dead Reckoning,Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PH.VII.A.R3,VII. Navigation,Task A. Pilotage and Dead Reckoning,Risk Management,"Unplanned fuel/power consumption, if applicable."
PH.VII.A.S1,VII. Navigation,Task A. Pilotage and Dead Reckoning,Skills,Prepare and use a flight log.
PH.VII.A.S2,VII. Navigation,Task A. Pilotage and Dead Reckoning,Skills,Navigate by pilotage.
PH.VII.A.S3,VII. Navigation,Task A. Pilotage and Dead Reckoning,Skills,"Navigate by means of pre-computed headings, groundspeeds, elapsed time, and reference to landmarks or checkpoints."
PH.VII.A.S4,VII. Navigation,Task A. Pilotage and Dead Reckoning,Skills,"Use the magnetic direction indicator in navigation, including turns to headings."
PH.VII.A.S5,VII. Navigation,Task A. Pilotage and Dead Reckoning,Skills,Verify position within three nautical miles of the flight-planned route.
PH.VII.A.S6,VII. Navigation,Task A. Pilotage and Dead Reckoning,Skills,"Correct for and record the differences between preflight fuel, groundspeed, and heading calculations and those determined en route."
PH.VII.A.S7,VII. Navigation,Task A. Pilotage and Dead Reckoning,Skills,Arrive at the en route checkpoints within five minutes of the initial or revised estimated time of arrival (ETA) and provide a destination estimate.
PH.VII.A.S8,VII. Navigation,Task A. Pilotage and Dead Reckoning,Skills,"Maintain the selected altitude, ±200 feet and heading, ±15°."
PH.VII.B.K1,VII. Navigation,Task B. Navigation Systems and Radar Services,Knowledge,"Ground-based navigation (identification, orientation, course determination, equipment, tests, regulations, interference, appropriate use of navigation data, and signal integrity)."
PH.VII.B.K2,VII. Navigation,Task B. Navigation Systems and Radar Services,Knowledge,"Satellite-based navigation (e.g., equipment, regulations, authorized use of databases, and Receiver Autonomous Integrity Monitoring (RAIM))."
PH.VII.B.K3,VII. Navigation,Task B. Navigation Systems and Radar Services,Knowledge,"Radar assistance to visual flight rules (VFR) aircraft (e.g., operations, equipment, available services, traffic advisories)."
PH.VII.B.K4,VII. Navigation,Task B. Navigation Systems and Radar Services,Knowledge,"Transponder (Mode(s) A, C, and S) and Automatic Dependent Surveillance-Broadcast (ADS-B)."
PH.VII.B.R1,VII. Navigation,Task B. Navigation Systems and Radar Services,Risk Management,Management of automated navigation and autoflight systems.
PH.VII.B.R2,VII. Navigation,Task B. Navigation Systems and Radar Services,Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
PH.VII.B.R3,VII. Navigation,Task B. Navigation Systems and Radar Services,Risk Management,Limitations of the navigation system in use.
PH.VII.B.R4,VII. Navigation,Task B. Navigation Systems and Radar Services,Risk Management,Loss of a navigation signal.
PH.VII.B.R5,VII. Navigation,Task B. Navigation Systems and Radar Services,Risk Management,"Use of an electronic flight bag (EFB), if used."
PH.VII.B.S1,VII. Navigation,Task B. Navigation Systems and Radar Services,Skills,Use an airborne electronic navigation system.
PH.VII.B.S2,VII. Navigation,Task B. Navigation Systems and Radar Services,Skills,Determine the aircraft's position using the navigation system.
PH.VII.B.S3,VII. Navigation,Task B. Navigation Systems and Radar Services,Skills,"Intercept and track a given course, radial, or bearing."
PH.VII.B.S4,VII. Navigation,Task B. Navigation Systems and Radar Services,Skills,Recognize and describe the indication of station or waypoint passage.
PH.VII.B.S5,VII. Navigation,Task B. Navigation Systems and Radar Services,Skills,Recognize loss of navigational signal and take appropriate action.
PH.VII.B.S6,VII. Navigation,Task B. Navigation Systems and Radar Services,Skills,Use proper communication procedures when utilizing radar services.
PH.VII.B.S7,VII. Navigation,Task B. Navigation Systems and Radar Services,Skills,"Maintain the selected altitude, ±200 feet and headings, ±15°."
PH.VII.C.K1,VII. Navigation,Task C. Diversion,Knowledge,Selecting an alternate destination.
